
21. Printing statistics.

=== top ===

        +----------------------------Count including submodules.
        |        +-------------------Area including submodules.
        |        |        +----------Local count, excluding submodules.
        |        |        |        +-Local area, excluding submodules.
        |        |        |        | 
      370        -      370        - wires
      387        -      387        - wire bits
       39        -       39        - public wires
       56        -       56        - public wire bits
        7        -        7        - ports
       24        -       24        - port bits
        -        -        -        - memories
        -        -        -        - memory bits
        -        -        -        - processes
      331  569.772      331  569.772 cells
        8    8.512        8    8.512   AND2_X1
        1     1.33        1     1.33   AND2_X2
        2     2.66        2     2.66   AND3_X1
        3    4.788        3    4.788   AND4_X1
        1    2.394        1    2.394   AOI211_X2
       14   14.896       14   14.896   AOI21_X1
        1    1.862        1    1.862   AOI21_X2
        6    9.576        6    9.576   AOI221_X1
        3    8.778        3    8.778   AOI221_X2
        1    3.458        1    3.458   AOI221_X4
        3    6.384        3    6.384   AOI222_X1
        1    3.724        1    3.724   AOI222_X4
       13    17.29       13    17.29   AOI22_X1
       12    9.576       12    9.576   BUF_X1
        4    4.256        4    4.256   BUF_X2
        9   16.758        9   16.758   BUF_X4
        2    1.596        2    1.596   CLKBUF_X1
       28   148.96       28   148.96   DFFR_X1
        1    4.256        1    4.256   FA_X1
       25     66.5       25     66.5   HA_X1
       26   13.832       26   13.832   INV_X1
        1    0.798        1    0.798   INV_X2
        1     1.33        1     1.33   INV_X4
       26   48.412       26   48.412   MUX2_X1
       28   22.344       28   22.344   NAND2_X1
        4     5.32        4     5.32   NAND2_X2
        9    9.576        9    9.576   NAND3_X1
        1    1.862        1    1.862   NAND3_X2
        2     2.66        2     2.66   NAND4_X1
       25    19.95       25    19.95   NOR2_X1
        4     5.32        4     5.32   NOR2_X2
        5     5.32        5     5.32   NOR3_X1
        2    3.724        2    3.724   NOR3_X2
        1    2.394        1    2.394   NOR4_X2
        1    4.788        1    4.788   NOR4_X4
        3    7.182        3    7.182   OAI211_X2
       21   22.344       21   22.344   OAI21_X1
        1    1.862        1    1.862   OAI21_X2
        1    3.458        1    3.458   OAI21_X4
        3    4.788        3    4.788   OAI221_X1
        2    5.852        2    5.852   OAI221_X2
        1     1.33        1     1.33   OAI22_X1
        7    7.448        7    7.448   OR2_X1
        1     1.33        1     1.33   OR2_X2
        2    4.788        2    4.788   OR2_X4
        1    1.862        1    1.862   OR4_X2
       11   17.556       11   17.556   XNOR2_X1
        3    4.788        3    4.788   XOR2_X1

   Chip area for module '\top': 569.772000
     of which used for sequential elements: 148.960000 (26.14%)

